case	source_compound	structure	notes
תירס	חיטי תירס	סמיכות רגילה — נשמט הגרעין	א״ש "קיצור"; §ו.4
שירותים	חדר שירותים	סמיכות רגילה — נשמט הגרעין	
מכולת	חנות מכולת	סמיכות רגילה — נשמט הגרעין	א״ש
תחש	כלב תחש	סמיכות רגילה — נשמט הגרעין	
רובה	קנה רובה	סמיכות רגילה — נשמט הגרעין	א״ש; §ו.9
מולדת	ארץ מולדת	סמיכות רגילה — נשמט הגרעין	א״ש
סנאי	חולדת הסנאים	סמיכות רגילה — נשמט הגרעין	§ו.5
תותח	כלי תותח	סמיכות רגילה — נשמט הגרעין	§ו.8
רכב	כלי רכב	סמיכות רגילה — נשמט הגרעין	
כלבו	חנות כל־בו	סמיכות רגילה — נשמט הגרעין	✚ אותר במהלך אימות התדירות; מבנה מקביל למכולת
פוך	שמיכת פוך	סמיכות רגילה — נשמט הגרעין	✚ אותר במהלך אימות התדירות
נשף	נשף חשק	סמיכות רגילה — נשמט הלוואי	§ו.6
תות	תות שדה	סמיכות רגילה — נשמט הלוואי	
זר	זר פרחים	סמיכות רגילה — נשמט הלוואי	
גן	גן ילדים	סמיכות רגילה — נשמט הלוואי	א״ש; רביד 1990 (אצל אפרת)
מזגן	מזגן אוויר	סמיכות רגילה — נשמט הלוואי	א״ש "קיצור של"; §ג
פטמה	פטמת הדד	סמיכות רגילה — נשמט הלוואי	
מבצע	מבצע מכירות	סמיכות רגילה — נשמט הלוואי	חריג אפשרי במבחן התדירות; מבחן ההתכווצות שלילי — ראו ה.4.4.1
מפעל	מפעל תעשייה	סמיכות רגילה — נשמט הלוואי	חריג אפשרי במבחן התדירות; מבחן ההתכווצות שלילי — ראו ה.4.4.1
מפל	מפל מים	סמיכות רגילה — נשמט הלוואי	א״ש
ניב	ניב שפתיים	סמיכות רגילה — נשמט הלוואי	א״ש
צומת	צומת דרכים	סמיכות רגילה — נשמט הלוואי	א״ש
צלילות	צלילות הדעת	סמיכות רגילה — נשמט הלוואי	א״ש
בילוי	בילוי זמן	סמיכות רגילה — נשמט הלוואי	הנסמך שם פעולה; הסומך מממש את מושא "לבלות"; א״ש
חצאית	שמלה חצאית	שם עצם + לוואי תואר — נשמט הגרעין; התואר שורד	§ו.2; קציר תשפ"ב
גלויה	איגרת גלויה	שם עצם + לוואי תואר — נשמט הגרעין; התואר שורד	§ו.3; השמט מודע (סוקולוב 1903)
מכונית	עגלה מכונית	שם עצם + לוואי תואר — נשמט הגרעין; התואר שורד	
תחתונים	בגדים תחתונים	שם עצם + לוואי תואר — נשמט הגרעין; התואר שורד	תיעוד גם לצירוף מקור מקביל: מכנסיים תחתונים
חשמלית	רכבת חשמלית	שם עצם + לוואי תואר — נשמט הגרעין; התואר שורד	✚ אותר במהלך אימות התדירות; המילה משמשת גם כרכיב הנשמט בסוללה חשמלית (ב.4)
סוללה	סוללה חשמלית	שם עצם + לוואי תואר — נשמט הלוואי; הגרעין שורד	
הקרבה	הקרבה עצמית	שם עצם + לוואי תואר — נשמט הלוואי; הגרעין שורד	א״ש
חזייה	חזייה תחתונית	שם עצם + לוואי תואר — נשמט הלוואי; הגרעין שורד	✚ אותר במהלך אימות התדירות; תיעוד הצירוף בעיתונות דל (תחום טעון־טאבו)
אחות	אחות רחמנייה	שם עצם + לוואי תואר — נשמט הלוואי; הגרעין שורד	חריג אפשרי במבחן התדירות; חשד לקלק (Schwester/сестра) — ראו ה.4.4.1 וב.10 הערה 2
צוללת	ספינה / סירה צוללת	שם עצם + לוואי בינוני — נשמט הגרעין; הבינוני שורד	§ו.7.1; ריווח־אותיות 1915
משחתת	אונייה / ספינה משחתת	שם עצם + לוואי בינוני — נשמט הגרעין; הבינוני שורד	א״ש "קיצור"; §ג, §ו.7.2
מפציץ	אווירון מפציץ	שם עצם + לוואי בינוני — נשמט הגרעין; הבינוני שורד	א״ש "קיצור"; §ו.7.3
מדיח	מדיח כלים	צירוף בינוני — נשמט המשלים	
מייבש	מייבש כביסה	צירוף בינוני — נשמט המשלים	
מצית	מצית סיגריות	צירוף בינוני — נשמט המשלים	
מהדק	מהדק סיכות / ניירות	צירוף בינוני — נשמט המשלים	
מסורב	מסורב עלייה	צירוף בינוני — נשמט המשלים	בינוני סביל (פֻּעַל); המשלים מציין את תחום הסירוב, לא מושא ישיר; §ג
נושאת מטוסים	אונייה נושאת מטוסים	שם עצם + לוואי [צירוף בינוני] — נשמט הגרעין; תת־הצירוף שורד	§ג, §ו.7.5; תוצר ההשמט הוא צירוף, לא מילה
שולת מוקשים	אונייה שולת מוקשים	שם עצם + לוואי [צירוף בינוני] — נשמט הגרעין; תת־הצירוף שורד	§ו.7.4; השמט חלקי — נעצר ברמת תת־הצירוף
אחוז	אחוז למאה	שם עצם + לוואי יחס — נשמט הלוואי; הגרעין שורד	א״ש; צירוף היחס הוא משלים כמותי
הוצאה	הוצאה לאור	שם עצם + לוואי יחס — נשמט הלוואי; הגרעין שורד	א״ש; "לאור" משלים ירושה מהפועל "הוציא לאור"
